,Severity,Distance(mi),Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Speed(mph),Precipitation(in),Year,Month,Day,Hour,Wintry,Thunderstorm,Snow,Rain,Windy,Hail,Clear,Cloudy,Fog,Sand,Smoke
count,2479311.0,2479311.0,2479311.0,2479311.0,2479311.0,2479311.0,2479311.0,2479311.0,2479311.0,2479311.0,2479311.0,2479311.0,2479311.0,2479311.0,2479311.0,2479311.0,2479311.0,2479311.0,2479311.0,2479311.0,2479311.0,2479311.0,2479311.0,2479311.0
mean,2.1443715612926333,0.7082497798783616,61.702840815735286,59.47465227193643,64.50513682614493,29.4811697236607,9.104211387704959,7.401572902189125,0.007089290765249739,2019.9239808963055,7.452444247615567,16.062683140598335,12.761051356606735,0.0014124891955869998,0.011801665866041009,0.019518729195328863,0.06977261021307936,0.015114279733361406,5.929066583417732e-05,0.4651078464944495,0.4028845110597259,0.029404540212986593,0.0001379415490835962,0.0026507364344368254
std,0.48621085599775415,1.5707409506696592,18.609138576046988,19.570617870823618,22.815352958961654,1.0323285871802172,2.7356049581170003,5.451190389775641,0.08445812515072063,1.474732060866319,3.634497972628519,8.722018210688134,5.859730612775548,0.03755655254100461,0.10799255183905647,0.13833927903856494,0.2547634574571927,0.12200755831311319,0.007699816514949196,0.4987811523776763,0.49047801055536433,0.1689376356502058,0.011744044313694926,0.05141703119687827
min,1.0,0.0,-89.0,-89.0,1.0,0.02,0.0,0.0,0.0,2016.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,2.0,0.05,50.0,51.0,48.0,29.32,10.0,3.5,0.0,2019.0,4.0,9.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50%,2.0,0.255,63.0,59.65823090383087,67.0,29.82,10.0,7.0,0.0,2021.0,8.0,16.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75%,2.0,0.777,76.0,73.0,83.0,30.01,10.0,10.0,0.007016939880237856,2021.0,11.0,23.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
max,4.0,155.186,196.0,196.0,100.0,58.9,140.0,1087.0,24.0,2021.0,12.0,31.0,23.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
